con,locus,end,L,sym,cid,orth,rna
700unitig_12,100177.4.peg.107,112275,839,,606,1,
700unitig_12,100177.4.peg.108,113273,908,,603,1,
700unitig_12,100177.4.peg.109,114814,1544,,193,1,
700unitig_12,100177.4.peg.11,5197,-1694,,150,1,
700unitig_12,100177.4.peg.110,115597,782,,753,1,
700unitig_12,100177.4.peg.111,115600,-821,,702,1,
700unitig_12,100177.4.peg.112,116455,-1784,,135,1,
700unitig_12,100177.4.peg.113,118239,-1217,,327,1,
700unitig_12,100177.4.peg.114,119461,-689,,833,1,
700unitig_12,100177.4.peg.115,120298,-230,,5005,1,
700unitig_12,100177.4.peg.116,120562,-293,,1397,1,
700unitig_12,100177.4.peg.117,121933,1007,,515,1,
700unitig_12,100177.4.peg.118,121923,-1277,,285,1,
700unitig_12,100177.4.peg.119,124031,701,,834,1,
700unitig_12,100177.4.peg.120,126965,2918,,31,1,
700unitig_12,100177.4.peg.121,126999,-245,,1391,1,
700unitig_12,100177.4.peg.122,127305,-1547,,183,1,
700unitig_12,100177.4.peg.123,128932,-407,,1232,1,
700unitig_12,100177.4.peg.124,129340,-326,,1337,1,
700unitig_12,100177.4.peg.125,129679,-257,,1341,1,
700unitig_12,100177.4.peg.126,130007,-827,,672,1,
700unitig_12,100177.4.peg.127,130849,-1106,,411,1,
700unitig_12,100177.4.peg.128,131988,-2006,,84,1,
700unitig_12,100177.4.peg.129,135817,1565,,187,1,
700unitig_12,100177.4.peg.13,7793,701,,845,1,
700unitig_12,100177.4.peg.130,136591,-602,,954,1,
700unitig_12,100177.4.peg.131,138365,764,,757,1,
700unitig_12,100177.4.peg.132,139901,1499,,205,1,
700unitig_12,100177.4.peg.133,141861,1568,,178,1,
700unitig_12,100177.4.peg.134,141952,-494,,1124,1,
700unitig_12,100177.4.peg.135,142433,-554,,1049,1,
700unitig_12,100177.4.peg.136,142988,-1025,,474,1,
700unitig_12,100177.4.peg.137,144814,605,,971,1,
700unitig_12,100177.4.peg.138,146703,1769,,140,1,
700unitig_12,100177.4.peg.139,147424,704,,843,1,
700unitig_12,100177.4.peg.14,7786,-1301,,290,1,
700unitig_12,100177.4.peg.140,148035,605,,962,1,
700unitig_12,100177.4.peg.141,150757,2522,,45,1,
700unitig_12,100177.4.peg.142,153076,2303,,60,1,
700unitig_12,100177.4.peg.143,153065,-2420,,50,1,
700unitig_12,100177.4.peg.144,157888,2126,,74,1,
700unitig_12,100177.4.peg.145,158825,944,,562,1,
700unitig_12,100177.4.peg.146,159049,209,,1521,1,
700unitig_12,100177.4.peg.147,159087,-2351,,54,1,
700unitig_12,100177.4.peg.148,161435,-800,,727,1,
700unitig_12,100177.4.peg.149,162250,-2153,,71,1,
700unitig_12,100177.4.peg.15,9106,-842,,552,1,
700unitig_12,100177.4.peg.150,164396,-1019,,493,1,
700unitig_12,100177.4.peg.151,167011,1382,,243,1,
700unitig_12,100177.4.peg.152,167018,-1250,,317,1,
700unitig_12,100177.4.peg.153,168836,506,,1113,1,
700unitig_12,100177.4.peg.154,168859,-1469,,202,1,
700unitig_12,100177.4.peg.155,170306,-521,,1100,1,
700unitig_12,100177.4.peg.156,170847,-302,,1366,1,
700unitig_12,100177.4.peg.157,171179,-1901,,104,1,
700unitig_12,100177.4.peg.158,173083,-479,,1144,1,
700unitig_12,100177.4.peg.159,173572,-887,,625,1,
700unitig_12,100177.4.peg.16,9954,-692,,858,1,
700unitig_12,100177.4.peg.160,174471,-1166,,356,1,
700unitig_12,100177.4.peg.161,175642,-2090,,81,1,
700unitig_12,100177.4.peg.162,177744,-1118,,394,1,
700unitig_12,100177.4.peg.163,178862,-788,,718,1,
700unitig_12,100177.4.peg.164,179686,-263,,1430,1,
700unitig_12,100177.4.peg.165,179958,-764,,773,1,
700unitig_12,100177.4.peg.166,180733,-626,,919,1,
700unitig_12,100177.4.peg.167,181352,-341,,1319,1,
700unitig_12,100177.4.peg.168,181740,-1058,,453,1,
700unitig_12,100177.4.peg.169,182819,-536,,1086,1,
700unitig_12,100177.4.peg.17,10651,-554,,1055,1,
700unitig_12,100177.4.peg.170,183404,-782,,750,1,
700unitig_12,100177.4.peg.171,184186,-782,,752,1,
700unitig_12,100177.4.peg.172,184965,-224,,1501,1,
700unitig_12,100177.4.peg.173,185210,-1328,,283,1,
700unitig_12,100177.4.peg.174,186543,-434,,1177,1,
700unitig_12,100177.4.peg.175,186998,-1187,,350,1,
700unitig_12,100177.4.peg.176,188193,-617,,957,1,
700unitig_12,100177.4.peg.177,188803,-431,,1194,1,
700unitig_12,100177.4.peg.178,189231,-1310,,292,1,
700unitig_12,100177.4.peg.179,190560,-920,,592,1,
700unitig_12,100177.4.peg.18,11243,-839,,633,1,
700unitig_12,100177.4.peg.180,191495,-1034,,476,1,
700unitig_12,100177.4.peg.181,192545,-1709,,151,1,
700unitig_12,100177.4.peg.182,194269,-335,,1316,1,
700unitig_12,100177.4.peg.183,194616,-458,,1160,1,
700unitig_12,100177.4.peg.184,195098,-407,,1226,1,
700unitig_12,100177.4.peg.185,195539,-1346,,272,1,
700unitig_12,100177.4.peg.186,196878,-548,,1066,1,
700unitig_12,100177.4.peg.187,197437,-950,,563,1,
700unitig_12,100177.4.peg.188,198394,-692,,857,1,
700unitig_12,100177.4.peg.189,199087,-1199,,331,1,
700unitig_12,100177.4.peg.19,12086,-782,,748,1,
700unitig_12,100177.4.peg.190,200307,-1241,,329,1,
700unitig_12,100177.4.peg.191,201548,-743,,798,1,
700unitig_12,100177.4.peg.192,202328,-1094,,414,1,
700unitig_12,100177.4.peg.193,203429,-1055,,460,1,
700unitig_12,100177.4.peg.194,204502,-1391,,246,1,
700unitig_12,100177.4.peg.195,205915,-281,,1401,1,
700unitig_12,100177.4.peg.196,206193,-890,,618,1,
700unitig_12,100177.4.peg.197,207076,-836,,684,1,
700unitig_12,100177.4.peg.198,207909,-1076,,436,1,
700unitig_12,100177.4.peg.199,209006,-767,,760,1,
700unitig_12,100177.4.peg.20,13084,-278,,1405,1,
700unitig_12,100177.4.peg.200,210073,-839,,614,1,
700unitig_12,100177.4.peg.201,210902,-530,,1089,1,
700unitig_12,100177.4.peg.202,211478,-578,,932,1,
700unitig_12,100177.4.peg.203,213151,1043,,470,1,
700unitig_12,100177.4.peg.204,213834,686,,874,1,
700unitig_12,100177.4.peg.205,213836,-806,,720,1,
700unitig_12,100177.4.peg.206,214643,-932,,584,1,
700unitig_12,100177.4.peg.207,215572,-1460,,219,1,
700unitig_12,100177.4.peg.208,217032,-1049,,417,1,
700unitig_12,100177.4.peg.209,218152,-290,,-1,,
700unitig_12,100177.4.peg.21,13382,-770,,742,1,
700unitig_12,100177.4.peg.210,218489,-1058,,422,1,
700unitig_12,100177.4.peg.211,220980,1133,,375,1,
700unitig_12,100177.4.peg.212,221435,356,,1272,1,
700unitig_12,100177.4.peg.213,221450,-1109,,399,1,
700unitig_12,100177.4.peg.214,222609,-2801,,32,1,
700unitig_12,100177.4.peg.215,225434,-893,,586,1,
700unitig_12,100177.4.peg.217,228306,1577,,159,3,
700unitig_12,100177.4.peg.218,229999,1586,,159,4,
700unitig_12,100177.4.peg.219,231747,1409,,159,5,
700unitig_12,100177.4.peg.22,14163,-611,,963,1,
700unitig_12,100177.4.peg.220,233030,920,,595,1,
700unitig_12,100177.4.peg.221,234092,1049,,427,1,
700unitig_12,100177.4.peg.222,234976,872,,599,1,
700unitig_12,100177.4.peg.223,235948,971,,530,1,
700unitig_12,100177.4.peg.224,235962,-755,,723,1,
700unitig_12,100177.4.peg.225,238133,1301,,250,1,
700unitig_12,100177.4.peg.226,238195,-410,,1228,1,
700unitig_12,100177.4.peg.227,238602,-464,,1158,1,
700unitig_12,100177.4.peg.228,239119,-809,,686,1,
700unitig_12,100177.4.peg.229,239921,-1457,,220,1,
700unitig_12,100177.4.peg.23,14774,-1655,,160,1,
700unitig_12,100177.4.peg.230,241368,-1445,,224,1,
700unitig_12,100177.4.peg.231,242824,-275,,1400,1,
700unitig_12,100177.4.peg.232,243109,-2096,,80,1,
700unitig_12,100177.4.peg.233,245207,-1199,,345,1,
700unitig_12,100177.4.peg.234,246418,-650,,890,1,
700unitig_12,100177.4.peg.235,248675,1418,,236,1,
700unitig_12,100177.4.peg.236,250206,1433,,231,1,
700unitig_12,100177.4.peg.237,250964,740,,794,1,
700unitig_12,100177.4.peg.238,250983,-278,,1407,1,
700unitig_12,100177.4.peg.239,251280,-1568,,169,1,
700unitig_12,100177.4.peg.24,16432,-665,,896,1,
700unitig_12,100177.4.peg.240,254090,1133,,386,1,
700unitig_12,100177.4.peg.241,254094,-1799,,129,1,
700unitig_12,100177.4.peg.242,255906,-950,,481,1,
700unitig_12,100177.4.peg.243,256893,-488,,1126,1,
700unitig_12,100177.4.peg.244,257421,-593,,993,1,
700unitig_12,100177.4.peg.245,258007,-731,,813,1,
700unitig_12,100177.4.peg.246,258750,-1424,,211,1,
700unitig_12,100177.4.peg.247,260664,425,,1197,1,
700unitig_12,100177.4.peg.248,261810,1142,,383,1,
700unitig_12,100177.4.peg.249,262796,986,,533,1,
700unitig_12,100177.4.peg.25,17081,-749,,787,1,
700unitig_12,100177.4.peg.250,264829,2012,,90,1,
700unitig_12,100177.4.peg.251,265310,383,,1263,1,
700unitig_12,100177.4.peg.252,265353,-587,,999,1,
700unitig_12,100177.4.peg.253,267460,1376,,255,1,
700unitig_12,100177.4.peg.254,267746,278,,1328,1,
700unitig_12,100177.4.peg.255,267773,-1058,,454,1,
700unitig_12,100177.4.peg.256,268849,-2294,,59,1,
700unitig_12,100177.4.peg.257,271154,-1217,,336,1,
700unitig_12,100177.4.peg.258,272368,-1337,,279,1,
700unitig_12,100177.4.peg.259,273723,-1472,,199,1,
700unitig_12,100177.4.peg.26,17817,-752,,761,1,
700unitig_12,100177.4.peg.260,275208,-767,,583,1,
700unitig_12,100177.4.peg.261,277241,1136,,381,1,
700unitig_12,100177.4.peg.262,277979,713,,837,1,
700unitig_12,100177.4.peg.263,279154,1178,,357,1,
700unitig_12,100177.4.peg.264,279624,473,,1054,1,
700unitig_12,100177.4.peg.265,279635,-662,,902,1,
700unitig_12,100177.4.peg.266,280324,-419,,1196,1,
700unitig_12,100177.4.peg.267,280792,-1364,,244,1,
700unitig_12,100177.4.peg.268,282210,-1424,,223,1,
700unitig_12,100177.4.peg.269,283747,-1025,,5007,1,
700unitig_12,100177.4.peg.27,18584,-1094,,415,1,
700unitig_12,100177.4.peg.270,284859,-1019,,426,1,
700unitig_12,100177.4.peg.271,285918,-1064,,403,1,
700unitig_12,100177.4.peg.272,287303,-1031,,472,1,
700unitig_12,100177.4.peg.273,288436,-473,,1147,1,
700unitig_12,100177.4.peg.274,288934,-374,,1276,1,
700unitig_12,100177.4.peg.275,289376,-4133,,12,1,
700unitig_12,100177.4.peg.276,293525,-3467,,18,1,
700unitig_12,100177.4.peg.277,297075,-374,,1269,1,
700unitig_12,100177.4.peg.278,297520,-488,,1121,1,
700unitig_12,100177.4.peg.279,298013,-680,,884,1,
700unitig_12,100177.4.peg.28,19692,-2702,,39,1,
700unitig_12,100177.4.peg.280,298693,-431,,1180,1,
700unitig_12,100177.4.peg.281,299175,-554,,1045,1,
700unitig_12,100177.4.peg.282,299753,-170,,1713,1,
700unitig_12,100177.4.peg.283,300030,-179,,1670,1,
700unitig_12,100177.4.peg.284,300382,-848,,611,1,
700unitig_12,100177.4.peg.285,301244,-1031,,448,1,
700unitig_12,100177.4.peg.286,303247,638,,826,1,
700unitig_12,100177.4.peg.287,303277,-1556,,191,1,
700unitig_12,100177.4.peg.288,306142,1202,,343,1,
700unitig_12,100177.4.peg.289,306154,-1466,,206,1,
700unitig_12,100177.4.peg.29,22431,-944,,570,1,
700unitig_12,100177.4.peg.290,307673,-677,,889,1,
700unitig_12,100177.4.peg.291,308736,224,,1130,1,
700unitig_12,100177.4.peg.292,309351,599,,959,1,
700unitig_12,100177.4.peg.293,309973,611,,964,1,
700unitig_12,100177.4.peg.294,310026,-1115,,395,1,
700unitig_12,100177.4.peg.295,311142,-1877,,114,1,
700unitig_12,100177.4.peg.296,313825,629,,887,1,
700unitig_12,100177.4.peg.297,314703,881,,629,1,
700unitig_12,100177.4.peg.298,315479,779,,759,1,
700unitig_12,100177.4.peg.299,315474,-614,,953,1,
700unitig_12,100177.4.peg.30,24688,1148,,368,1,
700unitig_12,100177.4.peg.300,317201,857,,651,1,
700unitig_12,100177.4.peg.301,318368,1127,,371,1,
700unitig_12,100177.4.peg.302,319606,1214,,339,1,
700unitig_12,100177.4.peg.303,320269,623,,909,1,
700unitig_12,100177.4.peg.304,321331,1034,,406,1,
700unitig_12,100177.4.peg.305,321352,-923,,585,1,
700unitig_12,100177.4.peg.306,322278,-4487,,9,1,
700unitig_12,100177.4.peg.307,333349,-839,,622,1,
700unitig_12,100177.4.peg.308,334321,-560,,976,1,
700unitig_12,100177.4.peg.309,339359,-548,,1067,1,
700unitig_12,100177.4.peg.31,24736,-1373,,258,1,
700unitig_12,100177.4.peg.310,340002,-713,,771,1,
700unitig_12,100177.4.peg.311,341199,317,,1350,1,
700unitig_12,100177.4.peg.312,341229,-389,,1243,1,
700unitig_12,100177.4.peg.313,342342,605,,973,1,
700unitig_12,100177.4.peg.314,343206,752,,3,1,
700unitig_12,100177.4.peg.315,343922,713,,829,1,
700unitig_12,100177.4.peg.316,344191,-782,,716,1,
700unitig_12,100177.4.peg.317,345091,-2432,,51,1,
700unitig_12,100177.4.peg.318,347535,-1904,,102,1,
700unitig_12,100177.4.peg.319,351084,1457,,216,1,
700unitig_12,100177.4.peg.32,28147,1889,,108,1,
700unitig_12,100177.4.peg.320,352500,1160,,369,1,
700unitig_12,100177.4.peg.321,352891,299,,1274,1,
700unitig_12,100177.4.peg.322,353138,155,,1816,1,
700unitig_12,100177.4.peg.323,353454,335,,1302,1,
700unitig_12,100177.4.peg.324,355098,1634,,170,1,
700unitig_12,100177.4.peg.325,355840,728,,802,1,
700unitig_12,100177.4.peg.326,356953,1067,,444,1,
700unitig_12,100177.4.peg.327,358195,1079,,431,1,
700unitig_12,100177.4.peg.329,358614,-1760,,142,1,
700unitig_12,100177.4.peg.33,28148,-1892,,107,1,
700unitig_12,100177.4.peg.330,360378,-2105,,77,1,
700unitig_12,100177.4.peg.331,362480,-278,,1402,1,
700unitig_12,100177.4.peg.332,362776,-293,,1336,1,
700unitig_12,100177.4.peg.333,363059,-1259,,311,1,
700unitig_12,100177.4.peg.334,364321,-533,,1001,1,
700unitig_12,100177.4.peg.335,364851,-722,,846,1,
700unitig_12,100177.4.peg.336,366506,842,,579,1,
700unitig_12,100177.4.peg.337,366503,-1148,,366,1,
700unitig_12,100177.4.peg.338,368697,989,,527,1,
700unitig_12,100177.4.peg.339,369306,605,,921,1,
700unitig_12,100177.4.peg.34,30355,-308,,1255,1,
700unitig_12,100177.4.peg.340,369420,-1808,,130,1,
700unitig_12,100177.4.peg.341,372867,1517,,184,1,
700unitig_12,100177.4.peg.342,374170,1310,,267,1,
700unitig_12,100177.4.peg.343,374495,-707,,822,1,
700unitig_12,100177.4.peg.344,377466,1682,,148,1,
700unitig_12,100177.4.peg.345,377770,299,,1376,1,
700unitig_12,100177.4.peg.346,378453,509,,1009,1,
700unitig_12,100177.4.peg.347,379239,515,,1080,1,
700unitig_12,100177.4.peg.348,379931,695,,840,1,
700unitig_12,100177.4.peg.349,380700,791,,691,1,
700unitig_12,100177.4.peg.35,30665,-3212,,22,1,
700unitig_12,100177.4.peg.350,381386,689,,865,1,
700unitig_12,100177.4.peg.351,382134,746,,675,1,
700unitig_12,100177.4.peg.352,382657,512,,1110,1,
700unitig_12,100177.4.peg.353,382878,191,,1493,1,
700unitig_12,100177.4.peg.354,383716,821,,693,1,
700unitig_12,100177.4.peg.355,385096,1283,,289,1,
700unitig_12,100177.4.peg.356,387115,1364,,253,1,
700unitig_12,100177.4.peg.357,387312,-389,,1251,1,
700unitig_12,100177.4.peg.358,389364,1184,,352,1,
700unitig_12,100177.4.peg.359,389729,311,,1364,1,
700unitig_12,100177.4.peg.36,33896,-953,,540,1,
700unitig_12,100177.4.peg.360,390385,620,,939,1,
700unitig_12,100177.4.peg.361,391024,629,,898,1,
700unitig_12,100177.4.peg.362,391341,296,,1381,1,
700unitig_12,100177.4.peg.363,392196,833,,670,1,
700unitig_12,100177.4.peg.364,392484,278,,1406,1,
700unitig_12,100177.4.peg.365,392854,362,,1238,1,
700unitig_12,100177.4.peg.366,393742,884,,631,1,
700unitig_12,100177.4.peg.367,394163,416,,1221,1,
700unitig_12,100177.4.peg.368,394366,200,,1571,1,
700unitig_12,100177.4.peg.369,394623,254,,1444,1,
700unitig_12,100177.4.peg.37,34861,-1175,,233,1,
700unitig_12,100177.4.peg.370,395019,368,,1285,1,
700unitig_12,100177.4.peg.371,395339,305,,1367,1,
700unitig_12,100177.4.peg.372,395893,548,,1068,1,
700unitig_12,100177.4.peg.373,396096,185,,1639,1,
700unitig_12,100177.4.peg.374,396504,398,,1240,1,
700unitig_12,100177.4.peg.375,397063,542,,1081,1,
700unitig_12,100177.4.peg.376,397442,359,,1300,1,
700unitig_12,100177.4.peg.377,397952,497,,1119,1,
700unitig_12,100177.4.peg.378,398267,311,,1363,1,
700unitig_12,100177.4.peg.379,398697,437,,1183,1,
700unitig_12,100177.4.peg.38,36282,-227,,5033,1,
700unitig_12,100177.4.peg.380,400014,1304,,296,1,
700unitig_12,100177.4.peg.382,400535,377,,1267,1,
700unitig_12,100177.4.peg.383,400955,392,,1234,1,
700unitig_12,100177.4.peg.384,402008,1037,,484,1,
700unitig_12,100177.4.peg.385,402401,371,,1279,1,
700unitig_12,100177.4.peg.386,404006,1532,,194,1,
700unitig_12,100177.4.peg.387,404784,788,,714,1,
700unitig_12,100177.4.peg.388,405556,791,,745,1,
700unitig_12,100177.4.peg.389,405553,-740,,707,1,
700unitig_12,100177.4.peg.39,36502,-884,,613,1,
700unitig_12,100177.4.peg.390,407681,1301,,288,1,
700unitig_12,100177.4.peg.391,408937,1259,,307,1,
700unitig_12,100177.4.peg.392,409620,686,,866,1,
700unitig_12,100177.4.peg.393,416128,6488,,241,1,
700unitig_12,100177.4.peg.394,417702,1562,,185,1,
700unitig_12,100177.4.peg.395,419390,1700,,152,1,
700unitig_12,100177.4.peg.396,420445,980,,539,1,
700unitig_12,100177.4.peg.397,420501,-740,,800,1,
700unitig_12,100177.4.peg.398,421243,-1094,,416,1,
700unitig_12,100177.4.peg.399,422337,-1907,,100,1,
700unitig_12,100177.4.peg.4,1297,161,,261,,
700unitig_12,100177.4.peg.40,37401,-899,,609,1,
700unitig_12,100177.4.peg.400,424268,-563,,1038,1,
700unitig_12,100177.4.peg.401,426736,1538,,188,1,
700unitig_12,100177.4.peg.402,427493,221,,561,1,
700unitig_12,100177.4.peg.403,427663,-422,,1165,1,
700unitig_12,100177.4.peg.404,430003,1814,,127,1,
700unitig_12,100177.4.peg.405,430772,776,,739,1,
700unitig_12,100177.4.peg.406,430807,-947,,568,1,
700unitig_12,100177.4.peg.407,431834,-809,,694,1,
700unitig_12,100177.4.peg.408,432627,-614,,916,1,
700unitig_12,100177.4.peg.409,433244,-1295,,293,1,
700unitig_12,100177.4.peg.41,38307,-1118,,388,1,
700unitig_12,100177.4.peg.410,435495,761,,783,1,
700unitig_12,100177.4.peg.411,436284,767,,774,1,
700unitig_12,100177.4.peg.412,437070,770,,762,1,
700unitig_12,100177.4.peg.413,439852,2801,,34,1,
700unitig_12,100177.4.peg.414,440287,-644,,895,1,
700unitig_12,100177.4.peg.415,440928,-356,,1242,1,
700unitig_12,100177.4.peg.416,441362,-698,,848,1,
700unitig_12,100177.4.peg.417,442086,-2081,,82,1,
700unitig_12,100177.4.peg.418,444687,227,,1469,1,
700unitig_12,100177.4.peg.419,445442,569,,1015,1,
700unitig_12,100177.4.peg.42,39577,-1010,,512,1,
700unitig_12,100177.4.peg.420,446210,638,,860,1,
700unitig_12,100177.4.peg.421,447630,1220,,334,1,
700unitig_12,100177.4.peg.422,448998,1364,,264,1,
700unitig_12,100177.4.peg.423,448981,-809,,654,1,
700unitig_12,100177.4.peg.424,449774,-617,,946,1,
700unitig_12,100177.4.peg.425,450373,-2726,,36,1,
700unitig_12,100177.4.peg.426,453096,-401,,1230,1,
700unitig_12,100177.4.peg.427,453487,-419,,1184,1,
700unitig_12,100177.4.peg.428,453915,-380,,1227,1,
700unitig_12,100177.4.peg.429,456525,1982,,89,1,
700unitig_12,100177.4.peg.43,40713,-1997,,91,1,
700unitig_12,100177.4.peg.430,456547,-1487,,201,1,
700unitig_12,100177.4.peg.431,460183,1862,,115,1,
700unitig_12,100177.4.peg.432,460637,467,,1149,1,
700unitig_12,100177.4.peg.433,461493,863,,644,1,
700unitig_12,100177.4.peg.434,461900,260,,1435,1,
700unitig_12,100177.4.peg.435,463642,1721,,146,1,
700unitig_12,100177.4.peg.436,464214,569,,1027,1,
700unitig_12,100177.4.peg.437,464248,-1850,,121,1,
700unitig_12,100177.4.peg.438,467605,1394,,248,1,
700unitig_12,100177.4.peg.439,467629,-539,,1076,1,
700unitig_12,100177.4.peg.44,44080,1205,,341,1,
700unitig_12,100177.4.peg.440,468310,-518,,1078,1,
700unitig_12,100177.4.peg.441,468921,-578,,974,1,
700unitig_12,100177.4.peg.442,470248,542,,1079,1,
700unitig_12,100177.4.peg.443,470571,311,,1352,1,
700unitig_12,100177.4.peg.444,472729,2141,,75,1,
700unitig_12,100177.4.peg.445,473943,1157,,373,1,
700unitig_12,100177.4.peg.446,475718,1772,,134,1,
700unitig_12,100177.4.peg.447,476133,374,,1277,1,
700unitig_12,100177.4.peg.448,476481,-689,,864,1,
700unitig_12,100177.4.peg.449,478448,1064,,437,1,
700unitig_12,100177.4.peg.45,44913,806,,683,1,
700unitig_12,100177.4.peg.450,479331,821,,703,1,
700unitig_12,100177.4.peg.451,480172,848,,661,1,
700unitig_12,100177.4.peg.452,481965,1601,,162,1,
700unitig_12,100177.4.peg.453,481985,-524,,1085,1,
700unitig_12,100177.4.peg.454,483232,587,,873,1,
700unitig_12,100177.4.peg.455,484645,1172,,355,1,
700unitig_12,100177.4.peg.456,488229,3485,,16,1,
700unitig_12,100177.4.peg.457,488819,578,,1005,1,
700unitig_12,100177.4.peg.458,490889,2060,,85,1,
700unitig_12,100177.4.peg.459,490886,-788,,658,1,
700unitig_12,100177.4.peg.46,44977,-611,,863,1,
700unitig_12,100177.4.peg.460,493161,1349,,277,1,
700unitig_12,100177.4.peg.461,494670,1346,,237,1,
700unitig_12,100177.4.peg.462,496044,1355,,273,1,
700unitig_12,100177.4.peg.463,496041,-1043,,464,1,
700unitig_12,100177.4.peg.464,497094,-2174,,70,1,
700unitig_12,100177.4.peg.465,500244,797,,733,1,
700unitig_12,100177.4.peg.466,501335,1037,,425,1,
700unitig_12,100177.4.peg.467,501318,-845,,662,1,
700unitig_12,100177.4.peg.468,502192,-1259,,245,1,
700unitig_12,100177.4.peg.469,504281,713,,838,1,
700unitig_12,100177.4.peg.47,45603,-2699,,38,1,
700unitig_12,100177.4.peg.470,506244,1937,,99,1,
700unitig_12,100177.4.peg.471,506273,-1757,,139,1,
700unitig_12,100177.4.peg.472,508023,-623,,941,1,
700unitig_12,100177.4.peg.473,508667,-2147,,67,1,
700unitig_12,100177.4.peg.474,513280,2207,,65,1,
700unitig_12,100177.4.peg.475,513277,-920,,566,1,
700unitig_12,100177.4.peg.476,515691,1442,,210,1,
700unitig_12,100177.4.peg.477,517251,1556,,186,1,
700unitig_12,100177.4.peg.478,518504,1253,,324,1,
700unitig_12,100177.4.peg.479,519283,752,,784,1,
700unitig_12,100177.4.peg.48,49507,1136,,385,1,
700unitig_12,100177.4.peg.480,519341,-1871,,117,1,
700unitig_12,100177.4.peg.481,521485,-1502,,197,1,
700unitig_12,100177.4.peg.482,524264,1208,,338,1,
700unitig_12,100177.4.peg.483,524768,491,,1095,1,
700unitig_12,100177.4.peg.484,526747,1976,,97,1,
